Gevonden: 108 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 's-Gravelandseweg | 36 | 1381HK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | Dorpsweg Ransdorp | 113 | 1028BM | Amsterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | Dorpsweg Ransdorp | 115 | 1028BM | Amsterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | St. Annastraat | 20 | 1411PH | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | Lange Muiderweg | 30 | 1382LA | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13945 | De Buurt | 62 A | 1606AH | Venhuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13945 | De Buurt | 62 | 1606AH | Venhuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13951 | Dorpsstraat | 14 | 1689EV | Zwaag
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14301 | 't Nopeind | 14 | 1027AE | Amsterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14776 | Grosthuizen | 53 | 1633EM | Avenhorn
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15387 | Oosterblokker | 103 | 1696BD | Oosterblokker
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15843 | Oude Gouw | 1 | 1687AJ | Wognum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17267 | Kerkstraat | 1 | 1687AL | Wognum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18235 | Gein-Zuid | 53 | 1391JH | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18276 | Naardermeer | 13 | 1412CV | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19252 | Oosterblokker | 57 | 1696BB | Oosterblokker
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20031 | Nieuwvaartje | 12 | 1135BJ | Edam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20804 | Middenlaan Zunderdorp | 17 | 1027AR | Amsterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21063 | Brink | 31 | 1399GX | Muiderberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21164 | Oosterblokker | 39 | 1696BB | Oosterblokker
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21430 | Utrechtseweg | 112 | 1381GT | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21614 | Westeinde | 276 | 1647MN | Berkhout
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22113 | Bloemendalergouw | 13 | 1028BH | Amsterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22476 | Hemmerbuurt | 99 | 1607CD | Hem
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | Westeinde | 3 | 1474HA | Oosthuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22859 | 's-Gravelandseweg | 50 | 1381HK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22859 | 's-Gravelandseweg | 51 | 1381HK | Weesp
