Gevonden: 241 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10045 | 32116 | Point (5.804414539303473 51.767794256525576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10085 | 22129 | Point (5.847451764480392 51.249575964184295)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11233 | 9027 | Point (6.044540829358434 51.58570478707579)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11291 | 41947 | Point (5.608063778446467 51.769263660079524)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11291 | 41947 | Point (5.608063804329338 51.76926280212632)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11469 | 22652 | Point (5.990183120019508 51.43779882635829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11557 | 37218 | Point (5.973153529565921 51.50925715903077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11788 | 8891 | Point (6.120657972659613 51.32509292464665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11808 | 8879 | Point (6.059519223537776 51.256372575475964)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12685 | 21451 | Point (5.651047436199149 51.496461273608936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13421 | 32119 | Point (5.779493139466287 51.755727859732765)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773165820528767 51.58142401535065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773166158386676 51.58142318763177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565908395845 51.673456744759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565473159838 51.673457495163014)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068718668378 51.509784655427076)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068913260099 51.509783789058794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16251 | 8880 | Point (6.09540990342829 51.29285280385578)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16494 | 22646 | Point (6.037134669045027 51.47058983417737)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626338132442098 51.49955183567977)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626337965733367 51.499552706255244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16897 | 526207 | Point (6.087299180827096 51.27531035469817)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16996 | 518259 | Point (5.672519423356246 51.60664670885254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16996 | 518259 | Point (5.672519245105651 51.6066475627342)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17549 | 517779 | Point (5.891150968466768 51.42644856989961)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17549 | 517779 | Point (5.891151680809308 51.42644777682806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17646 | 38466 | Point (5.702886996193548 51.2719551206177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17773 | 34973 | Point (6.013137520765907 51.22415426545576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18030 | 6944 | Point (5.623632150746431 51.519252387099776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18522 | 28438 | Point (6.05069884429675 51.55095505152905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18890 | 38460 | Point (5.680087159782113 51.25613156454516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18890 | 38460 | Point (5.680087578947436 51.256130675010894)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18930 | 518096 | Point (5.6751064723119 51.55261953948133)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18930 | 518096 | Point (5.675106688025522 51.55261868236941)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19790 | 28437 | Point (6.051021668706851 51.55133973849617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20095 | 32133 | Point (5.718848004553656 51.77885383416477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21088 | 39638 | Point (5.753704208229532 51.793877627436956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21489 | 32392 | Point (5.648507243037993 51.79077882578016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21489 | 32392 | Point (5.648507195097375 51.790779676759904)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21774 | 16052 | Point (5.691731744304048 51.54411818742387)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21774 | 16052 | Point (5.691731497435953 51.544119041421204)
