Gevonden: 54 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | Hinderdam | 5 a | 1394JB | Nederhorst den Berg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 's-Gravelandseweg | 36 | 1381HK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | St. Annastraat | 20 | 1411PH | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | Lange Muiderweg | 30 | 1382LA | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12663 | Kanaaldijk Oost | 8 | 1393PA | Nigtevecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18235 | Gein-Zuid | 53 | 1391JH | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18276 | Naardermeer | 13 | 1412CV | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21063 | Brink | 31 | 1399GX | Muiderberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21240 | 's-Gravelandseweg | 184 | 1217GB | Hilversum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21240 | 's-Gravelandseweg | 186 | 1217GB | Hilversum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21430 | Utrechtseweg | 112 | 1381GT | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22859 | 's-Gravelandseweg | 50 | 1381HK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22859 | 's-Gravelandseweg | 51 | 1381HK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23953 | Dorpsstraat | 67 | 1393NG | Nigtevecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24925 | Herengracht | 75 | 1398AD | Muiden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25377 | Kerklaan | 8 | 1382AK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26437 | Klompweg | 80 | 1393PM | Nigtevecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27821 | Klompweg | 24 | 1393PJ | Nigtevecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28256 | Dammerweg | 4 | 1383HT | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30285 | Dammerweg | 10 | 1383HT | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35229 | Eilandseweg | 11 | 1394JE | Nederhorst den Berg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35781 | Gooilandseweg | 7 | 1381HR | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35781 | Gooilandseweg | 7 A | 1381HR | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36840 | Utrechtseweg | 116 | 1381GT | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37131 | Gein-Zuid | 46 | 1391JH | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37955 | Lange Muiderweg | 16 | 1382LA | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/41028 | Googweg | 10 | 1399ER | Muiderberg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42529 | 's-Gravelandseweg | 39 | 1381HK | Weesp
